策略,起始日,結束日,累積報酬,年化報酬,最大回撤,年化波動,Sharpe,年化週轉率,最差3個月,2022報酬,2026YTD
買進持有 0050,2018-01-02,2026-04-23,3.181598062954011,0.18802435654172367,-0.36381578947368354,0.20666649927188877,0.9708803333052062,0.0,-0.2629032258064513,-0.24261168384879606,0.28976848394324106
買進持有 006208,2018-01-02,2026-04-23,3.28204579499248,0.19142528254580982,-0.35049736688121735,0.19772895726526213,1.0238096050066,0.0,-0.2530434782608698,-0.2412950519242515,0.30827067669172736
買進持有 00631L,2018-01-02,2026-04-23,15.545094713033674,0.40203429539138225,-0.5514366796736428,0.3979539404342718,1.0867431248349457,0.0,-0.4834558823529409,-0.3643835616438359,0.5594936708860749
保守版 70/20/10,2018-01-02,2026-04-23,3.5989013620668597,0.20171181859583553,-0.3174705242011161,0.1948315464532966,1.0789397740685942,2.59177347242921,-0.2749753473791329,-0.2235771102098214,0.340793829271576
標準版 50/35/10,2018-01-02,2026-04-23,4.922318901638981,0.23887523651655318,-0.32870717721469844,0.21447959170733932,1.1467292806572231,3.316602086438152,-0.2912340251558496,-0.2270578686337984,0.4363216016525402
標準版無槓桿 55/35/0,2018-01-02,2026-04-23,4.311218898419868,0.22273331351720915,-0.31282896927595516,0.2033016127050371,1.1310677878555486,2.959821162444113,-0.2807014393936491,-0.22411826264763957,0.39664652276186585
標準版現金防守 50/35/10,2018-01-02,2026-04-23,4.551860438408316,0.2292755693655315,-0.25307364504853813,0.18947433836047736,1.2284752548157682,2.2817287630402383,-0.21208899425314753,-0.13308498995447082,0.4308162167402583
標準版現金防守 50/35/10（成本0.20%）,2018-01-02,2026-04-23,4.352683975733904,0.22387896209503255,-0.25402486940384195,0.18954723398367046,1.2039152756614366,2.2817287630402383,-0.2137975927671979,-0.13571191830217566,0.4304067020250415
006208核心現金防守 50/35/10（成本0.20%）,2018-01-02,2026-04-23,4.383492139508929,0.22472512454022886,-0.24866957317862615,0.1852472983846128,1.2313486594637961,2.2817287630402383,-0.20871929176827564,-0.13226172954639792,0.4404973536854362
標準版無槓桿 55/35/0（成本0.20%）,2018-01-02,2026-04-23,4.06528505078661,0.21577203619032326,-0.3151050511989899,0.2033999155992983,1.1014032144341883,2.959821162444113,-0.28285898816708666,-0.22764822644655858,0.39624686330122594
Top3集中 50/35/10,2018-01-02,2026-04-23,4.38181400782935,0.2246791435903075,-0.31232817799697143,0.1959927237719445,1.1742391729130999,2.9994634873323403,-0.2748852415781078,-0.23192056541467532,0.3821783994616046
進取版 40/40/15,2018-01-02,2026-04-23,5.432729121966145,0.2512706549633088,-0.34120543287102134,0.2219377984556373,1.162268035565736,3.5219076005961254,-0.2969602252194812,-0.22790745481133556,0.47011425308058885
無狀態濾網 50/35/10,2018-01-02,2026-04-23,5.8286633657065945,0.26030350866944607,-0.31957638825135337,0.22432998113866667,1.1855653339092005,1.945812220566319,-0.28082238432406337,-0.22754045302702908,0.4363216016525404
